Generation,Mean,Best
0,-3.744951668008295,44.98364348924665
1,-3.280315647597809,44.98364348924665
-1,-1,-1
0,-2.8249629937855554,70.54271036897345
1,-3.1488145689549394,70.54271036897345
2,-0.7322210733778393,70.54271036897345
3,1.2918917723119796,70.54271036897345
4,3.6913669935602815,70.54271036897345
5,5.665725990943569,70.54271036897345
6,7.55482431556099,70.54271036897345
7,8.939896770088135,70.54271036897345
8,9.827610914000488,70.54271036897345
9,11.126664072484182,70.54271036897345
10,11.21778123572649,70.54271036897345
11,12.46701159120661,70.54271036897345
12,13.244018919906955,70.54271036897345
13,13.516070507967852,70.54271036897345
14,14.091352387597864,70.54271036897345
15,14.642681713321792,70.54271036897345
16,15.680794453156993,70.54271036897345
17,16.47723844216097,70.54271036897345
18,16.30922406713993,70.54271036897345
19,17.151365215007772,70.54271036897345
20,17.353954608494732,70.54271036897345
21,18.52565993992106,70.54271036897345
22,18.428427915059935,70.54271036897345
23,18.404293626737534,70.54271036897345
24,18.793257523479234,70.54271036897345
25,20.077190577252935,70.54271036897345
26,19.307323821639443,70.54271036897345
27,19.89475104111139,70.54271036897345
28,19.92724040598913,70.54271036897345
29,21.94552449870733,70.54271036897345
30,21.525014465086578,70.54271036897345
31,19.81117457331272,70.54271036897345
32,22.094926305610954,70.54271036897345
33,21.649812675682234,70.54271036897345
34,22.382678353422406,70.54271036897345
35,21.33086569883865,70.54271036897345
36,23.23037287744893,70.54271036897345
37,23.743229700810907,70.54271036897345
38,23.904921065067555,70.54271036897345
39,24.78374404479084,70.54271036897345
40,24.135681920872013,70.54271036897345
41,23.111243246262447,70.54271036897345
42,25.09325883585258,70.54271036897345
43,24.738470839514456,70.54271036897345
44,23.75571424222947,70.54271036897345
45,25.534993122248014,70.54271036897345
46,25.066059698465548,70.54271036897345
47,22.393978043958654,70.54271036897345
48,21.373995731582045,70.54271036897345
49,23.744517272978687,70.54271036897345
-1,-1,-1
0,3.1533710271761923,100.0
1,2.962152777630221,100.0
2,5.920175111692531,100.0
3,8.717089868422843,100.0
4,10.564861873163785,100.0
5,12.482595894494768,100.0
6,14.865557622542514,100.0
7,16.704609492865185,100.0
8,18.28199284013326,100.0
9,19.078975570505506,100.0
10,19.57719183187209,100.0
11,20.491955456189785,100.0
12,20.992277018274613,100.0
13,22.074001039242642,100.0
14,21.6568731962151,100.0
15,22.25076627487402,100.0
16,23.059701458678237,100.0
17,23.77028521338616,100.0
18,24.84627258333492,100.0
19,24.01912166034463,100.0
20,24.71596713593439,100.0
21,25.418418643385817,100.0
22,25.793598883555276,100.0
23,26.92521250762336,100.0
24,26.543795123323317,100.0
25,26.88493398329288,100.0
26,26.388244554396678,100.0
27,27.310569509876604,100.0
28,25.925891132786905,100.0
29,27.88953637333217,100.0
30,28.22363010178359,100.0
31,26.667937010327826,100.0
32,26.09198364538479,100.0
33,28.849316407021817,100.0
34,27.149442636744272,100.0
35,29.1320145103476,100.0
36,29.65775397837792,100.0
37,29.74792893855778,100.0
38,27.152327537659584,100.0
39,28.740760419054716,100.0
40,30.20910261171828,100.0
41,30.52670982280845,100.0
42,26.082507343618527,100.0
43,25.88503432864231,100.0
44,25.09781820389081,100.0
45,26.152233944178185,100.0
0,2.3436399065864064,100.0
1,2.8046934078155785,100.0
2,5.490491277793704,100.0
3,7.914401238115427,100.0
4,10.848788164627337,100.0
5,13.675485174153163,100.0
6,15.133464775470419,100.0
7,16.300682306668318,100.0
8,18.28410431270705,100.0
9,18.98414972091981,100.0
10,19.311575986022504,100.0
11,20.257646478593305,100.0
12,21.369938885946368,100.0
13,22.037676594814133,100.0
14,22.716971582966664,100.0
15,23.202937063098563,100.0
16,23.39079777552714,100.0
17,24.22416731815478,100.0
18,24.776145569819864,100.0
19,24.83668084512991,100.0
20,25.788355019777907,100.0
21,25.579574578360674,100.0
-1,-1,-1
0,3.1107891589804,93.1698729810778
1,2.6144445997359886,93.1698729810778
2,5.384341776260332,93.1698729810778
3,8.412985794783031,93.1698729810778
4,10.709418903367267,93.1698729810778
5,12.536640604735078,93.1698729810778
6,14.713240480396564,93.1698729810778
7,16.45615558397758,93.1698729810778
8,18.18420172329964,93.1698729810778
9,18.39004894321704,93.1698729810778
10,19.480766235511414,93.1698729810778
11,20.68131151089096,93.1698729810778
12,20.931819575645378,93.1698729810778
13,21.560535419481997,93.1698729810778
14,22.217703452112687,93.1698729810778
15,22.402985915942335,93.1698729810778
16,22.82149806611924,93.1698729810778
17,23.569648036989417,93.1698729810778
18,24.228699876490342,93.1698729810778
19,23.16164228758283,93.1698729810778
20,24.512989490233753,93.1698729810778
21,24.681430888829738,93.1698729810778
22,25.184269575097368,93.1698729810778
23,24.421130096269273,93.1698729810778
24,26.78227052330726,93.1698729810778
25,26.143200436643866,93.1698729810778
26,27.14538419125645,93.1698729810778
27,27.106137478081845,93.1698729810778
28,26.804672799375442,93.1698729810778
29,27.04005648917635,93.1698729810778
30,25.826056369976406,93.1698729810778
31,27.543327518055477,93.1698729810778
32,27.98053172232096,93.1698729810778
33,26.92706518655613,93.1698729810778
34,28.446606817733894,93.1698729810778
