Generation,Mean,Best
0,-1.0920478472093929,91.49061166337201
1,-3.1397129433008315,91.49061166337201
2,-3.139712943300832,91.49061166337201
3,-3.139712943300832,91.49061166337201
4,-3.139712943300832,91.49061166337201
5,-3.139712943300832,91.49061166337201
6,-3.139712943300832,91.49061166337201
7,-3.8224921450591633,91.49061166337201
8,-0.8187402091443207,91.49061166337201
9,2.3078707925677753,91.49061166337201
10,5.044226320322211,91.49061166337201
11,3.2203498226910754,91.49061166337201
12,6.24179364185168,91.49061166337201
13,6.959827315779215,91.49061166337201
14,6.487485528470666,91.49061166337201
15,6.256709024969467,91.49061166337201
16,4.813875762439076,91.49061166337201
17,6.730962245388915,91.49061166337201
18,7.216336667246128,91.49061166337201
19,9.189147885944113,91.49061166337201
20,5.901457027631288,91.49061166337201
21,5.887553279687534,91.49061166337201
22,8.029154795001375,91.49061166337201
23,8.118957094774295,91.49061166337201
24,9.580620871851306,91.49061166337201
25,7.9083948620217965,91.49061166337201
26,9.325242640265895,91.49061166337201
27,6.872722660512416,91.49061166337201
28,8.57870702060784,91.49061166337201
29,9.79381282636923,91.49061166337201
-1,-1,-1
