Generation,Mean,Best
0,-4.899912015689318,49.6735228031783
1,-4.961531837996674,49.6735228031783
2,-4.961531837996682,49.6735228031783
3,-4.961531837996682,49.6735228031783
4,-4.961531837996682,49.6735228031783
5,-4.961531837996682,49.6735228031783
6,-4.961531837996682,49.6735228031783
7,-4.956161817643873,49.6735228031783
8,-0.2741072395976777,49.6735228031783
9,2.5459251958940596,49.6735228031783
10,0.9804050677327082,49.6735228031783
11,3.217125576056106,49.6735228031783
12,3.521065742522854,49.6735228031783
13,2.10293420886839,49.6735228031783
14,2.0989195286418036,49.6735228031783
15,4.220644334701108,49.6735228031783
16,3.9115451125194616,49.6735228031783
17,4.628677844571843,49.6735228031783
18,2.836520424654486,49.6735228031783
19,3.2347408510347897,49.6735228031783
20,4.266492754204126,49.6735228031783
21,4.824788577435704,49.6735228031783
22,4.994301788457531,49.6735228031783
23,3.382827003535015,49.6735228031783
24,4.637298481377902,49.6735228031783
25,4.490568342931304,49.6735228031783
26,4.66161884588798,49.6735228031783
27,5.472823139095643,49.6735228031783
28,5.950290740033083,49.6735228031783
29,6.4822665475170425,49.6735228031783
30,7.428508740531635,49.6735228031783
31,6.365780290304262,49.6735228031783
32,8.39697516956593,49.6735228031783
33,5.978858602871613,49.6735228031783
34,7.602264582387507,49.6735228031783
35,9.575597464515326,49.6735228031783
36,8.383899518366317,49.6735228031783
37,8.550624418533172,49.6735228031783
38,6.7203611767501465,49.6735228031783
39,8.491292831761887,49.6735228031783
40,7.9944461525065265,49.6735228031783
41,7.752540143489349,49.6735228031783
42,7.69192246373099,49.6735228031783
43,8.126227918831455,49.6735228031783
44,9.648972208429067,49.6735228031783
45,8.597763429120153,49.6735228031783
46,8.501288416892818,49.6735228031783
47,9.072411500066535,49.6735228031783
48,8.702690473552726,49.6735228031783
49,11.43282707753081,49.6735228031783
-1,-1,-1
