Generation,Mean,Best
0,-4.038953418949504,86.11586738133826
1,-3.350654595372379,86.11586738133826
2,-3.350654595372371,86.11586738133826
3,-3.350654595372371,86.11586738133826
4,-3.151365350745164,86.11586738133826
5,1.817941714841945,86.11586738133826
6,4.280559803048869,86.11586738133826
7,5.89064791945612,86.11586738133826
8,6.0642465280946976,86.11586738133826
9,7.980317083645348,86.11586738133826
10,8.065352639106644,86.11586738133826
11,8.057219996320478,86.11586738133826
12,9.266907761997818,86.11586738133826
13,9.484566245060345,86.11586738133826
14,10.018363991341323,86.11586738133826
15,10.646288594121057,86.11586738133826
16,12.120509274801783,86.11586738133826
17,11.606461271216663,86.11586738133826
18,12.739050737915857,86.11586738133826
19,15.10838460632028,86.11586738133826
20,14.580946521438518,86.11586738133826
21,15.150704842741055,86.11586738133826
22,17.74071893656155,86.11586738133826
23,15.438574203872596,86.11586738133826
24,16.513966276280247,86.11586738133826
25,16.369730499754795,86.11586738133826
26,16.991713142473188,86.11586738133826
27,18.18725817306467,86.11586738133826
28,19.269528498032926,86.11586738133826
29,19.037914347230497,86.11586738133826
30,18.84095154004907,86.11586738133826
31,16.463681045485153,86.11586738133826
32,17.9507192541036,86.11586738133826
33,19.154400105510437,86.11586738133826
34,17.849365537806396,86.11586738133826
35,15.97324469790602,86.11586738133826
36,16.779931231143834,86.11586738133826
37,19.018640546099455,86.11586738133826
38,19.42780435816328,86.11586738133826
39,17.958118803871066,86.11586738133826
40,17.709710884821053,86.11586738133826
41,18.64643445908855,86.11586738133826
42,19.03276726433873,86.11586738133826
43,19.040408033455705,86.11586738133826
44,21.782180250692807,86.11586738133826
45,22.250596634474498,86.11586738133826
46,21.83965597242314,86.11586738133826
47,21.435814518439614,86.11586738133826
48,22.643525050538372,86.11586738133826
49,21.345987436003846,86.11586738133826
-1,-1,-1
