Generation,Mean,Best
0,-4.929004677091324,42.006577510877534
1,-5.452997396904547,42.006577510877534
2,-4.391277044416459,42.006577510877534
3,-3.906452637947663,42.006577510877534
4,-3.261991890564432,42.006577510877534
5,-2.3432550806429844,42.006577510877534
6,-1.5665259981323267,42.006577510877534
7,-0.9259134773143523,42.006577510877534
8,-0.24698443724624541,42.006577510877534
9,0.2923411468690413,42.006577510877534
10,1.0652836129870096,42.006577510877534
11,1.8657388626071318,42.006577510877534
12,2.834150567181372,42.006577510877534
13,3.3564727141879978,42.006577510877534
14,3.590229790995379,42.006577510877534
15,4.346755546971214,42.006577510877534
16,5.269175033204569,42.006577510877534
17,4.245911874760337,42.006577510877534
18,2.7531059745294466,42.006577510877534
19,3.575481296852886,42.006577510877534
-1,-1,-1
0,-6.173083401824516,16.036759877632583
1,-6.2327180111913005,16.036759877632583
-1,-1,-1
0,-6.311078542925438,21.30540007298086
1,-6.003808639805352,21.30540007298086
-1,-1,-1
0,-6.104205916918077,32.74291553994247
1,-5.816117466641451,32.74291553994247
2,-4.497888710319771,32.74291553994247
3,-3.5585804359967663,32.74291553994247
-1,-1,-1
0,-6.354640610255732,39.43008549362146
1,-6.170502096835897,39.43008549362146
2,-5.166544383882286,39.43008549362146
3,-4.591123419159784,39.43008549362146
-1,-1,-1
0,-6.697225805900327,35.56709802918651
1,-5.926648844946686,35.56709802918651
2,-4.4854892520912255,35.56709802918651
3,-3.678421304635198,35.56709802918651
-1,-1,-1
0,-6.159715490735964,29.58385943337143
1,-5.954009326763376,29.58385943337143
2,-4.464114919343617,29.58385943337143
3,-3.4369406102844913,29.58385943337143
-1,-1,-1
0,-6.474028777238367,32.20517772556997
1,-5.993137677684034,32.20517772556997
2,-4.573802512595611,32.20517772556997
3,-3.6451663622037764,32.20517772556997
-1,-1,-1
0,-6.291193521993225,14.739849101925103
-1,-1,-1
0,-5.976161286294898,42.436521417841305
1,-5.344118145198825,42.436521417841305
2,-4.4745024603465975,42.436521417841305
3,-3.501172172458168,42.436521417841305
4,-2.4952698219124603,42.436521417841305
5,-1.749504524397672,42.436521417841305
6,-1.4989106500883909,42.436521417841305
7,-1.0415754245861286,42.436521417841305
8,-0.5874064492192642,42.436521417841305
9,0.28746059341192154,42.436521417841305
10,0.4866058845241324,42.436521417841305
11,0.906430668081982,42.436521417841305
12,1.5662832226364751,42.436521417841305
13,1.7798422222362726,42.436521417841305
14,2.463160972867646,42.436521417841305
15,3.0285599626256974,42.436521417841305
16,3.528806829176784,42.436521417841305
17,3.355228543800871,42.436521417841305
18,4.038258259839733,42.436521417841305
19,4.111816245605423,42.436521417841305
20,3.9404432326942094,42.436521417841305
21,4.958105901323374,42.436521417841305
22,5.1344324785799795,42.436521417841305
23,5.768866862542521,42.436521417841305
24,6.499374400709904,42.436521417841305
25,6.049948335182295,42.436521417841305
26,6.521058015316358,42.436521417841305
27,7.230815838919101,42.436521417841305
28,7.218859362300348,42.436521417841305
29,7.318571408540027,42.436521417841305
-1,-1,-1
