Generation,Mean,Best
0,-4.07131512085371,34.256253249179636
1,-4.235731939415367,34.256253249179636
2,-4.235731939415368,34.256253249179636
3,-4.235731939415368,34.256253249179636
4,-4.235731939415368,34.256253249179636
5,-4.235731939415368,34.256253249179636
6,-4.235731939415368,34.256253249179636
7,-4.616292592100911,34.256253249179636
8,-1.0418505737667039,34.256253249179636
9,0.717572938490848,34.256253249179636
-1,-1,-1
0,-4.308025778079601,40.738791879898855
1,-4.455216202632121,40.738791879898855
2,-4.45521620263212,40.738791879898855
3,-4.45521620263212,40.738791879898855
4,-4.45521620263212,40.738791879898855
5,-4.45521620263212,40.738791879898855
6,-4.45521620263212,40.738791879898855
7,-4.3978071074561775,40.738791879898855
8,1.6774657638256592,40.738791879898855
9,3.251094048538897,40.738791879898855
10,3.411969866725043,40.738791879898855
11,5.861758555252376,40.738791879898855
12,3.605019157243343,40.738791879898855
13,5.52583553117814,40.738791879898855
14,2.5853932007825087,40.738791879898855
15,3.966507012521051,40.738791879898855
16,2.5729934861943446,40.738791879898855
17,3.9449872258959693,40.738791879898855
18,3.1603777063716536,40.738791879898855
19,1.4867124736848303,40.738791879898855
20,2.4813335220845274,40.738791879898855
21,5.870625209359439,40.738791879898855
22,5.3430122763561245,40.738791879898855
23,6.176322250683786,40.738791879898855
24,5.618500876324274,40.738791879898855
25,5.58468181791771,40.738791879898855
26,7.535151579730241,40.738791879898855
27,5.377607486038841,40.738791879898855
28,6.120704437190951,40.738791879898855
29,6.273318477344476,40.738791879898855
-1,-1,-1
