Generation,Mean,Best
0,-5.417695532992596,27.086023214415988
1,-5.0435649044282185,27.086023214415988
-1,-1,-1
0,-5.42818735981554,29.02830027078651
1,-5.148470225237119,29.02830027078651
-1,-1,-1
0,-5.434122579299822,24.633632308580037
1,-5.227155020029665,24.633632308580037
-1,-1,-1
0,-5.088080082350872,29.860324794255796
1,-5.165700100219755,29.860324794255796
-1,-1,-1
0,-5.694821976831563,27.51349472950253
1,-5.241907570127763,27.51349472950253
-1,-1,-1
0,-5.614374527420319,33.754383012713056
1,-5.253833700880095,33.754383012713056
-1,-1,-1
0,-5.003784204532701,20.35846893960209
1,-5.114674693516245,20.35846893960209
-1,-1,-1
0,-5.602520738503443,21.204302325426333
1,-5.299061320286086,21.204302325426333
-1,-1,-1
0,-5.338577984577226,21.423137903440107
1,-5.122212806928701,21.423137903440107
-1,-1,-1
0,-5.579567606477198,31.328627597269744
1,-5.319969174480691,31.328627597269744
-1,-1,-1
