Iteration,Generation,Mean,Stdev,Best
9,0,-4.584540025891552,5.065432973454386,15.711555352223364
9,1,-4.280154374670593,6.90349926425431,40.96766103804191
9,2,-2.934492760298331,8.040717891303283,40.96766103804191
9,3,-2.4142060706667827,8.88264410235836,44.50771503864566
9,4,-1.8961858936839777,9.62673615502876,44.50771503864566
9,5,-0.9899698715782038,10.392346717263358,44.50771503864566
9,6,-0.6266705368207229,11.174715819098228,44.50771503864566
9,7,-0.00510109604976799,11.731178651986793,44.50771503864566
9,8,0.1640279266478598,12.265901517273262,44.50771503864566
9,9,0.4902189974008417,12.559578058125826,44.50771503864566
9,10,-0.00286119283191038,12.856050098695686,44.50771503864566
9,11,0.669162436035668,13.399386478987733,54.476985726612256
9,12,0.4216597108055249,13.341361420614273,54.476985726612256
9,13,0.9571786011984093,13.532567171003251,54.476985726612256
9,14,0.962489059786833,14.467775911268363,54.476985726612256
9,15,3.071440387454055,17.320122487867124,54.476985726612256
9,16,5.421279653887012,17.515153204334773,54.476985726612256
9,17,5.17644748230033,18.32883288038558,54.476985726612256
9,18,2.6574367880476903,17.7384505387992,54.476985726612256
9,19,4.394992066006491,17.576131099079632,54.476985726612256
9,20,2.482384037539972,17.566529611221046,54.476985726612256
9,21,3.7744620804024374,18.061266045456815,54.476985726612256
9,22,3.129094921049585,17.794511258313126,54.476985726612256
9,23,1.7985699668229487,17.641595478332686,54.476985726612256
9,24,3.4405915408839083,17.614753885552165,54.476985726612256
9,25,3.8016292089748993,17.56474193861801,54.476985726612256
9,26,2.9821064040497895,17.621509742799923,54.476985726612256
9,27,3.5282090408772,18.32946505610791,54.476985726612256
9,28,3.823090139443559,17.887236451285037,54.476985726612256
9,29,4.170861764112484,17.873064172760593,54.476985726612256
9,30,2.346392559331746,17.720450002921908,54.476985726612256
9,31,5.153480335465884,18.115838791927963,54.476985726612256
9,32,3.9410854292781594,18.540937124862403,54.476985726612256
9,33,3.0162308755097134,18.396258737526633,54.476985726612256
9,34,4.967621454801364,17.78115112814254,54.476985726612256
9,35,2.801444748280234,18.02478499629349,54.476985726612256
9,36,3.698729035372512,18.353713581609707,54.476985726612256
9,37,4.308882325345548,18.165510342291544,54.476985726612256
9,38,3.336462501843615,18.36208569268188,54.476985726612256
9,39,3.447712980500136,18.497658958637096,54.476985726612256
9,40,3.5806138847427946,18.016558746105616,54.476985726612256
9,41,5.37180276298189,18.373752147232075,54.476985726612256
9,42,4.2314170939217535,18.698704750493462,54.476985726612256
9,43,4.253709786695597,17.76260651316885,54.476985726612256
9,44,5.302173200300716,18.165019339851323,54.476985726612256
9,45,3.088974520185531,18.135568517742406,54.476985726612256
9,46,4.376689462995228,19.27682308570376,54.476985726612256
9,47,3.5221144003061737,18.755029145187144,54.476985726612256
9,48,4.628718442795396,20.066579114358117,54.476985726612256
9,49,5.165030499295004,19.24345916889191,54.476985726612256
6,0,-2.8347921303100225,7.100691462261888,23.308661970237146
6,1,-4.449197951360179,6.715480894348304,52.25785259819517
6,2,-3.3005036411040107,7.81475325578938,52.25785259819517
6,3,-2.229191148326759,9.069324000113637,52.25785259819517
6,4,-1.3881304590465398,10.022527267482099,52.25785259819517
6,5,-0.9736068481802008,10.813447621456469,52.25785259819517
6,6,-0.4112507219598042,11.310462809733648,52.25785259819517
6,7,0.1405761418415433,12.059303765905982,52.25785259819517
6,8,0.24954660135094875,12.424339825865383,52.25785259819517
6,9,0.34430343210211534,12.725022218259443,52.25785259819517
6,10,0.4970488956214755,12.812322486275393,52.25785259819517
6,11,0.9547359163462441,13.372978444327499,52.25785259819517
6,12,1.1473465191242744,14.091452115367272,52.25785259819517
6,13,2.0774093806914804,14.671469750281895,52.25785259819517
6,14,1.4260498798841024,15.261371228829555,52.25785259819517
6,15,2.2731238371699005,15.635676822300448,52.25785259819517
6,16,3.3340628081189494,15.73435591096841,52.25785259819517
6,17,2.4070288326561706,15.79455595727472,52.25785259819517
6,18,2.0310647474284016,15.646869452992561,52.25785259819517
6,19,2.3055370186909925,15.69577828336163,52.25785259819517
6,20,0.32964576807912394,15.48429957028629,52.25785259819517
6,21,1.5724514427773222,15.075432444163896,52.25785259819517
6,22,3.1208022242732376,15.714731868554948,52.25785259819517
6,23,2.197157360635886,15.652395860895137,52.25785259819517
6,24,2.4036051157140426,15.831336242756969,52.25785259819517
6,25,2.487238472488008,16.291151717047995,52.25785259819517
6,26,3.8227449328758145,16.30324573439247,52.25785259819517
6,27,3.389634891372743,15.704462984113086,52.25785259819517
6,28,2.0402602535825047,16.020804455761446,52.25785259819517
6,29,2.650737932095684,16.4457594388416,52.25785259819517
6,30,2.808850071072947,16.59263693149192,52.25785259819517
6,31,4.249199785197231,17.085420894994517,52.25785259819517
6,32,4.713764350895944,17.768966141338968,52.25785259819517
6,33,3.936296310009846,17.664837397363655,52.25785259819517
6,34,3.420017324791556,17.533178432791438,52.25785259819517
6,35,3.0154583068076692,17.64366816536322,52.25785259819517
6,36,3.1183803697899948,17.490575498203885,52.25785259819517
6,37,2.8279932426621097,17.826506008549032,52.25785259819517
6,38,3.650956996497456,17.53515337543553,52.25785259819517
6,39,4.670274310419587,18.230848589393183,52.25785259819517
6,40,3.1220162513734873,17.538263553082498,52.25785259819517
6,41,3.3721154382938794,17.59201273128952,52.25785259819517
6,42,2.3164263291252625,17.424413444011552,52.25785259819517
6,43,3.2980405788130467,17.845201044081946,52.25785259819517
6,44,2.1036711132482706,17.66434166990698,52.25785259819517
6,45,3.6260666118998097,18.352283961903865,52.25785259819517
