Iteration,Generation,Mean,Stdev,Best
0,0,-5.396227784914265,5.410501547538795,13.408724879742337
0,1,-5.4477370390794055,6.766155535425615,28.271350351679303
0,2,-3.2215697545923994,8.493396415800886,38.52471999534023
0,3,-1.181830519346962,10.715869281453863,43.95212815478502
0,4,-0.18087365939717098,12.258640096064092,43.95212815478502
0,5,0.9259234631991298,13.159438015227815,52.69115157718281
0,6,2.9289160492076887,14.06534144068028,52.69115157718281
0,7,3.7922117650651925,14.258834038836254,52.69115157718281
0,8,3.816933025852659,14.965031364208352,52.69115157718281
0,9,4.37382389855915,17.12111230931564,57.3790273151623
0,10,5.811398202123584,17.931609762656066,57.3790273151623
0,11,5.998523276178012,18.11472507453053,57.3790273151623
0,12,8.305686879105544,18.348272004312737,57.3790273151623
0,13,6.601860977898572,18.650505654553356,57.3790273151623
0,14,7.294301361185414,18.974401390596892,57.3790273151623
0,15,8.52831961497437,19.04685803342843,57.3790273151623
0,16,8.736679881385102,19.492117695480093,58.98671935483623
0,17,7.650290774174388,20.453256955153734,58.98671935483623
0,18,9.326485862593636,19.982405680120152,58.98671935483623
0,19,11.359714967451358,20.82313565314006,58.98671935483623
0,20,12.29397107374204,22.303325452920674,70.11236091940607
0,21,10.720231003630587,22.389897495122778,70.11236091940607
0,22,11.333148650280123,22.361614789362676,70.11236091940607
0,23,12.081139794680942,23.247097327787877,70.11236091940607
0,24,13.291178529108382,24.23809171511084,70.11236091940607
0,25,12.386441718494341,24.25426067508386,70.11236091940607
0,26,13.009470437483628,24.688404946800997,70.11236091940607
0,27,14.334204260729026,25.81526928161019,70.11236091940607
0,28,14.236633077826978,26.13081022902314,70.11236091940607
0,29,15.865339555799352,25.197946600182863,70.11236091940607
0,30,16.431272455263024,26.842401246194694,70.11236091940607
0,31,16.89378766794608,26.83186674356561,70.11236091940607
0,32,19.143137122156567,26.43199564318078,70.11236091940607
0,33,19.07987262216217,27.56110978269748,70.11236091940607
0,34,21.068168229242595,27.54160493039566,70.40173680379672
0,35,20.48230621420753,26.60947563111987,70.40173680379672
0,36,19.61951716646409,27.769542426017424,70.40173680379672
0,37,19.654798459898675,27.373685015917335,70.40173680379672
0,38,22.73903286501483,26.891777387623108,70.40173680379672
0,39,19.753024482469254,27.951124546822683,70.40173680379672
0,40,17.763999404670074,27.228375706509105,70.40173680379672
0,41,20.24680473571192,28.19558671119727,70.40173680379672
0,42,19.673400630527613,27.7225653842582,70.40173680379672
0,43,14.075236438828156,27.58189812060659,70.40173680379672
0,44,16.600331294237325,27.524990728806586,70.40173680379672
0,45,17.87720857788155,28.820134926044318,70.40173680379672
0,46,19.868273276352987,28.365276461075094,70.40173680379672
0,47,18.16993242342356,28.387656391844416,70.40173680379672
0,48,18.900994002168297,29.77894605238788,70.40173680379672
0,49,20.41549818384835,27.938437907909325,70.40173680379672
0,50,22.569194145954274,27.460404043565344,70.40173680379672
0,51,18.706119882774505,28.384762627481205,70.40173680379672
0,52,19.37609285089475,30.170811568484424,70.40173680379672
0,53,16.974075078028775,29.501648516130594,70.40173680379672
0,54,20.005690985418575,28.406416299574516,70.40173680379672
0,55,22.38292580282829,28.307304242369938,70.40173680379672
0,56,20.43115678310558,28.832743774149982,70.40173680379672
0,57,20.685995229062986,29.705731837545184,70.40173680379672
0,58,16.181143763866295,28.245794719336022,70.40173680379672
0,59,19.289316162420103,29.699091056775767,70.40173680379672
0,60,22.341744748745313,29.07041054676002,70.40173680379672
0,61,19.07020040478417,27.879655104077678,70.40173680379672
0,62,21.151802077729275,30.623357553828317,81.15392187042221
0,63,25.86472974316897,28.71271616898373,81.15392187042221
0,64,22.9245656433966,29.14391982609736,81.15392187042221
0,65,17.188084020658266,28.3697662853297,81.15392187042221
0,66,17.216684766948063,30.484478747122907,81.15392187042221
0,67,16.151806789594335,30.25225886796487,81.15392187042221
0,68,16.422201998841746,29.835813055745543,81.15392187042221
0,69,15.797840453043612,29.613854528613103,81.15392187042221
0,70,16.060771116905766,29.865756910113035,81.15392187042221
0,71,19.62290488729336,30.082067989277718,81.15392187042221
0,72,22.680337778440816,28.767669602857996,81.15392187042221
0,73,18.318816916455877,30.073268810481384,81.15392187042221
0,74,19.66632296274329,30.611285588765924,81.15392187042221
0,75,17.696192831927984,30.167417386826415,81.15392187042221
0,76,19.6676412188853,30.033185123278056,81.15392187042221
0,77,17.513039457884556,31.214937942203793,81.15392187042221
0,78,16.898522752993586,31.090794505871838,81.15392187042221
0,79,22.202926140195856,29.974609480228953,81.15392187042221
0,80,19.53062151087084,29.68487913300937,81.15392187042221
0,81,19.364813634115976,29.86533159066792,81.15392187042221
0,82,20.456600089359785,29.33597673847345,81.15392187042221
0,83,21.418015417926945,29.787350448057538,81.15392187042221
0,84,18.57143495101593,28.872274583090395,81.15392187042221
0,85,18.77577428554067,29.457868535850082,81.15392187042221
0,86,18.391128049114535,30.260655503069277,81.15392187042221
0,87,24.81371809749838,29.03157688527312,81.15392187042221
0,88,19.888256166015445,29.443992046611953,81.15392187042221
0,89,27.49175814737911,29.464016419239602,81.15392187042221
0,90,19.235413695493207,30.20426209134297,81.15392187042221
0,91,18.53410805307336,30.949140289924724,81.15392187042221
0,92,26.361248174094662,27.887532359277902,81.15392187042221
0,93,22.03686054712062,29.341952864195065,81.15392187042221
0,94,18.331481272489924,31.329108978277276,81.15392187042221
0,95,21.358786464047224,30.6062243363067,81.15392187042221
0,96,25.11852089740721,30.23373926514404,81.15392187042221
0,97,21.240338421127518,29.747351663304197,81.15392187042221
