Iteration,Generation,Mean,Stdev,Best
0,0,-5.166731943885834,2.276348525445451,2.151543560784797
0,1,-5.002849662425366,3.26558046417349,13.017134794506397
1,0,-5.119605613647679,2.5233186818093194,1.6728527345312134
1,1,-4.387634297752813,5.031537824646656,22.536780873898174
